Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Jan 19 2013,7:00 pm,Milwaukee Bucks,110,Portland Trail Blazers,104,Box Score,,
Sat Jan 19 2013,7:00 pm,Cleveland Cavaliers,98,Utah Jazz,109,Box Score,,
Sun Jan 20 2013,6:00 pm,Oklahoma City Thunder,118,Denver Nuggets,121,Box Score,OT,
Sun Jan 20 2013,7:30 pm,Boston Celtics,88,Detroit Pistons,103,Box Score,,
Sun Jan 20 2013,6:00 pm,Dallas Mavericks,111,Orlando Magic,105,Box Score,,
Sun Jan 20 2013,1:00 pm,Los Angeles Lakers,103,Toronto Raptors,108,Box Score,,
Mon Jan 21 2013,2:00 pm,Minnesota Timberwolves,96,Atlanta Hawks,104,Box Score,,
Mon Jan 21 2013,2:00 pm,Houston Rockets,100,Charlotte Bobcats,94,Box Score,,
Mon Jan 21 2013,8:30 pm,Los Angeles Lakers,83,Chicago Bulls,95,Box Score,,
Mon Jan 21 2013,1:00 pm,Los Angeles Clippers,99,Golden State Warriors,106,Box Score,,
Mon Jan 21 2013,12:00 pm,Indiana Pacers,82,Memphis Grizzlies,81,Box Score,,
Mon Jan 21 2013,12:00 pm,Sacramento Kings,105,New Orleans Hornets,114,Box Score,,
Mon Jan 21 2013,3:30 pm,Brooklyn Nets,88,New York Knicks,85,Box Score,,
Mon Jan 21 2013,7:00 pm,San Antonio Spurs,90,Philadelphia 76ers,85,Box Score,,
Mon Jan 21 2013,7:00 pm,Washington Wizards,98,Portland Trail Blazers,95,Box Score,,
Tue Jan 22 2013,7:00 pm,Boston Celtics,90,Cleveland Cavaliers,95,Box Score,,
Tue Jan 22 2013,7:30 pm,Orlando Magic,90,Detroit Pistons,105,Box Score,,
Tue Jan 22 2013,7:30 pm,Oklahoma City Thunder,109,Los Angeles Clippers,97,Box Score,,
Tue Jan 22 2013,7:00 pm,Philadelphia 76ers,102,Milwaukee Bucks,110,Box Score,,
Wed Jan 23 2013,7:00 pm,Atlanta Hawks,104,Charlotte Bobcats,92,Box Score,,
Wed Jan 23 2013,7:00 pm,Detroit Pistons,82,Chicago Bulls,85,Box Score,,
Wed Jan 23 2013,7:30 pm,Oklahoma City Thunder,99,Golden State Warriors,104,Box Score,,
Wed Jan 23 2013,7:00 pm,Denver Nuggets,105,Houston Rockets,95,Box Score,,
Wed Jan 23 2013,7:00 pm,Los Angeles Lakers,93,Memphis Grizzlies,106,Box Score,,
Wed Jan 23 2013,7:30 pm,Toronto Raptors,116,Miami Heat,123,Box Score,OT,
Wed Jan 23 2013,7:00 pm,Brooklyn Nets,91,Minnesota Timberwolves,83,Box Score,,
Wed Jan 23 2013,7:00 pm,Indiana Pacers,80,Portland Trail Blazers,100,Box Score,,
Wed Jan 23 2013,7:00 pm,Phoenix Suns,106,Sacramento Kings,96,Box Score,,
Wed Jan 23 2013,7:30 pm,New Orleans Hornets,102,San Antonio Spurs,106,Box Score,,
Wed Jan 23 2013,7:00 pm,Washington Wizards,88,Utah Jazz,92,Box Score,,
Thu Jan 24 2013,8:00 pm,New York Knicks,89,Boston Celtics,86,Box Score,,
Thu Jan 24 2013,7:00 pm,Toronto Raptors,97,Orlando Magic,95,Box Score,,
Thu Jan 24 2013,8:30 pm,Los Angeles Clippers,88,Phoenix Suns,93,Box Score,,
Fri Jan 25 2013,7:30 pm,Boston Celtics,111,Atlanta Hawks,123,Box Score,2OT,
Fri Jan 25 2013,7:00 pm,Golden State Warriors,87,Chicago Bulls,103,Box Score,,
Fri Jan 25 2013,7:30 pm,Milwaukee Bucks,108,Cleveland Cavaliers,113,Box Score,,
Fri Jan 25 2013,7:00 pm,San Antonio Spurs,113,Dallas Mavericks,107,Box Score,,
Fri Jan 25 2013,7:30 pm,Utah Jazz,84,Los Angeles Lakers,102,Box Score,,
Fri Jan 25 2013,7:00 pm,Brooklyn Nets,77,Memphis Grizzlies,101,Box Score,,
Fri Jan 25 2013,7:30 pm,Detroit Pistons,88,Miami Heat,110,Box Score,,
Fri Jan 25 2013,7:00 pm,Houston Rockets,100,New Orleans Hornets,82,Box Score,,
Fri Jan 25 2013,7:00 pm,Oklahoma City Thunder,105,Sacramento Kings,95,Box Score,,
Fri Jan 25 2013,7:00 pm,Minnesota Timberwolves,101,Washington Wizards,114,Box Score,,
Sat Jan 26 2013,7:30 pm,Minnesota Timberwolves,101,Charlotte Bobcats,102,Box Score,,
Sat Jan 26 2013,7:00 pm,Sacramento Kings,93,Denver Nuggets,121,Box Score,,
Sat Jan 26 2013,7:00 pm,Brooklyn Nets,106,Houston Rockets,119,Box Score,,
Sat Jan 26 2013,7:30 pm,Golden State Warriors,102,Milwaukee Bucks,109,Box Score,,
Sat Jan 26 2013,7:00 pm,New York Knicks,80,Philadelphia 76ers,97,Box Score,,
Sat Jan 26 2013,7:00 pm,Los Angeles Clippers,100,Portland Trail Blazers,101,Box Score,,
Sat Jan 26 2013,7:30 pm,Phoenix Suns,99,San Antonio Spurs,108,Box Score,,
Sat Jan 26 2013,7:00 pm,Cleveland Cavaliers,99,Toronto Raptors,98,Box Score,,
Sat Jan 26 2013,7:30 pm,Indiana Pacers,110,Utah Jazz,114,Box Score,OT,
Sat Jan 26 2013,7:00 pm,Chicago Bulls,73,Washington Wizards,86,Box Score,,
Sun Jan 27 2013,1:00 pm,Miami Heat,98,Boston Celtics,100,Box Score,2OT,
Sun Jan 27 2013,6:30 pm,Phoenix Suns,95,Dallas Mavericks,110,Box Score,,
Sun Jan 27 2013,6:30 pm,Portland Trail Blazers,83,Los Angeles Clippers,96,Box Score,,
Sun Jan 27 2013,12:30 pm,Oklahoma City Thunder,96,Los Angeles Lakers,105,Box Score,,
Sun Jan 27 2013,5:00 pm,New Orleans Hornets,91,Memphis Grizzlies,83,Box Score,,
Sun Jan 27 2013,6:30 pm,Atlanta Hawks,104,New York Knicks,106,Box Score,,
Sun Jan 27 2013,6:00 pm,Detroit Pistons,104,Orlando Magic,102,Box Score,,
Mon Jan 28 2013,7:30 pm,Orlando Magic,77,Brooklyn Nets,97,Box Score,,
Mon Jan 28 2013,7:00 pm,Charlotte Bobcats,85,Chicago Bulls,93,Box Score,,
Mon Jan 28 2013,7:00 pm,Indiana Pacers,101,Denver Nuggets,102,Box Score,,
Mon Jan 28 2013,7:00 pm,Memphis Grizzlies,103,Philadelphia 76ers,100,Box Score,,
Mon Jan 28 2013,7:00 pm,Golden State Warriors,114,Toronto Raptors,102,Box Score,,
Mon Jan 28 2013,7:00 pm,Houston Rockets,125,Utah Jazz,80,Box Score,,
Mon Jan 28 2013,7:00 pm,Sacramento Kings,96,Washington Wizards,94,Box Score,,
Tue Jan 29 2013,7:00 pm,Golden State Warriors,108,Cleveland Cavaliers,95,Box Score,,
Tue Jan 29 2013,7:30 pm,Milwaukee Bucks,117,Detroit Pistons,90,Box Score,,
Tue Jan 29 2013,7:30 pm,New Orleans Hornets,106,Los Angeles Lakers,111,Box Score,,
Tue Jan 29 2013,7:00 pm,Dallas Mavericks,104,Portland Trail Blazers,106,Box Score,,
Wed Jan 30 2013,7:30 pm,Toronto Raptors,92,Atlanta Hawks,93,Box Score,,
Wed Jan 30 2013,7:30 pm,Sacramento Kings,81,Boston Celtics,99,Box Score,,
Wed Jan 30 2013,8:00 pm,Miami Heat,105,Brooklyn Nets,85,Box Score,,
Wed Jan 30 2013,7:00 pm,Houston Rockets,110,Denver Nuggets,118,Box Score,,
Wed Jan 30 2013,7:00 pm,Detroit Pistons,79,Indiana Pacers,98,Box Score,,
