,1,2,3,4,5,6,7,8,9
171,9:00p,Sacramento Kings,113,Phoenix Suns,106,Box Score,,"12,705",
172,8:30p,Boston Celtics,93,San Antonio Spurs,104,Box Score,,"18,581",
173,10:30p,Chicago Bulls,87,Denver Nuggets,97,Box Score,,"18,423",
174,8:00p,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,"18,203",
175,7:30p,Indiana Pacers,97,Boston Celtics,82,Box Score,,"18,624",
176,7:00p,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,"14,916",
177,8:30p,Utah Jazz,93,Dallas Mavericks,103,Box Score,,"19,781",
178,7:30p,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,"13,467",
179,10:30p,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,"18,997",
180,8:00p,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,"17,109",
181,8:00p,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,"15,551",
182,8:00p,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,"15,186",
183,7:00p,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,"13,588",
184,10:00p,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,"20,618",
185,7:00p,Washington Wizards,88,Toronto Raptors,96,Box Score,,"18,671",
186,7:30p,Boston Celtics,94,Atlanta Hawks,87,Box Score,,"15,189",
187,9:00p,Dallas Mavericks,100,Denver Nuggets,102,Box Score,,"17,841",
188,10:30p,Portland Trail Blazers,113,Golden State Warriors,101,Box Score,,"19,596",
189,8:00p,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,"18,196",
190,7:00p,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,"18,165",
191,3:30p,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,"19,060",
192,7:30p,Orlando Magic,99,Miami Heat,101,Box Score,,"19,647",
193,8:30p,Charlotte Bobcats,96,Milwaukee Bucks,72,Box Score,,"14,871",
194,8:30p,Cleveland Cavaliers,96,San Antonio Spurs,126,Box Score,,"18,581",
195,7:00p,New York Knicks,89,Washington Wizards,98,Box Score,,"18,089",
196,2:00p,Detroit Pistons,109,Brooklyn Nets,97,Box Score,,"17,732",
197,3:30p,Chicago Bulls,82,Los Angeles Clippers,121,Box Score,,"19,245",
198,9:30p,Sacramento Kings,86,Los Angeles Lakers,100,Box Score,,"18,997",
199,7:00p,Utah Jazz,73,Oklahoma City Thunder,95,Box Score,,"18,203",
200,6:00p,Phoenix Suns,104,Orlando Magic,96,Box Score,,"15,785",
201,7:00p,Boston Celtics,96,Charlotte Bobcats,86,Box Score,,"13,558",
202,8:30p,Denver Nuggets,110,Dallas Mavericks,96,Box Score,,"19,677",
203,7:30p,Milwaukee Bucks,94,Detroit Pistons,113,Box Score,,"12,150",
204,7:00p,Minnesota Timberwolves,84,Indiana Pacers,98,Box Score,,"16,426",
205,8:00p,Houston Rockets,93,Memphis Grizzlies,86,Box Score,,"15,246",
206,7:30p,Phoenix Suns,92,Miami Heat,107,Box Score,,"19,758",
207,10:00p,New York Knicks,91,Portland Trail Blazers,102,Box Score,,"19,939",
208,8:30p,New Orleans Pelicans,93,San Antonio Spurs,112,Box Score,,"18,323",
209,9:00p,Chicago Bulls,83,Utah Jazz,89,Box Score,OT,"18,936",
210,7:30p,Orlando Magic,109,Atlanta Hawks,92,Box Score,,"13,164",
211,8:00p,Golden State Warriors,102,New Orleans Pelicans,101,Box Score,,"15,330",
212,7:00p,Brooklyn Nets,102,Toronto Raptors,100,Box Score,,"16,421",
213,7:00p,Los Angeles Lakers,111,Washington Wizards,116,Box Score,,"19,204",
214,7:30p,Memphis Grizzlies,100,Boston Celtics,93,Box Score,,"17,319",
215,7:30p,Los Angeles Lakers,99,Brooklyn Nets,94,Box Score,,"17,732",
216,7:00p,Indiana Pacers,99,Charlotte Bobcats,74,Box Score,,"15,170",
217,7:30p,Miami Heat,95,Cleveland Cavaliers,84,Box Score,,"20,562",
218,8:30p,Golden State Warriors,99,Dallas Mavericks,103,Box Score,,"20,211",
219,7:30p,Chicago Bulls,99,Detroit Pistons,79,Box Score,,"14,228",
220,8:00p,Atlanta Hawks,84,Houston Rockets,113,Box Score,,"18,051",
221,10:30p,New York Knicks,80,Los Angeles Clippers,93,Box Score,,"19,270",
222,8:00p,Washington Wizards,100,Milwaukee Bucks,92,Box Score,OT,"11,584",
223,8:00p,Denver Nuggets,117,Minnesota Timberwolves,110,Box Score,,"14,244",
224,8:00p,San Antonio Spurs,88,Oklahoma City Thunder,94,Box Score,,"18,203",
225,7:00p,Philadelphia 76ers,94,Orlando Magic,105,Box Score,,"15,839",
226,9:00p,Portland Trail Blazers,106,Phoenix Suns,120,Box Score,,"12,731",
227,7:30p,Dallas Mavericks,87,Atlanta Hawks,88,Box Score,,"15,463",
228,7:30p,Cleveland Cavaliers,86,Boston Celtics,103,Box Score,,"17,685",
229,7:00p,Milwaukee Bucks,76,Charlotte Bobcats,92,Box Score,,"15,081",
230,9:00p,New York Knicks,95,Denver Nuggets,97,Box Score,,"19,155",
231,7:30p,Los Angeles Lakers,106,Detroit Pistons,102,Box Score,,"15,202",
232,8:00p,Brooklyn Nets,95,Houston Rockets,114,Box Score,,"18,138",
233,8:00p,Washington Wizards,73,Indiana Pacers,93,Box Score,,"18,165",
234,8:00p,Golden State Warriors,112,Oklahoma City Thunder,113,Box Score,OT,"18,203",
235,7:00p,San Antonio Spurs,109,Orlando Magic,91,Box Score,,"15,159",
236,8:00p,New Orleans Pelicans,121,Philadelphia 76ers,105,Box Score,,"17,807",
237,10:00p,Los Angeles Clippers,104,Sacramento Kings,98,Box Score,OT,"17,317",
238,7:00p,Miami Heat,90,Toronto Raptors,83,Box Score,,"18,290",
239,9:00p,Phoenix Suns,112,Utah Jazz,101,Box Score,,"18,435",
240,7:30p,Chicago Bulls,93,Cleveland Cavaliers,97,Box Score,,"17,296",
241,8:30p,Minnesota Timberwolves,112,Dallas Mavericks,106,Box Score,,"20,173",
242,8:00p,Brooklyn Nets,97,Memphis Grizzlies,88,Box Score,,"17,012",
243,9:00p,Boston Celtics,85,Milwaukee Bucks,92,Box Score,,"15,471",
244,9:00p,Utah Jazz,112,Phoenix Suns,104,Box Score,,"12,957",
245,8:30p,Houston Rockets,112,San Antonio Spurs,106,Box Score,,"18,581",
246,7:00p,Atlanta Hawks,101,Washington Wizards,108,Box Score,,"14,280",
247,3:30p,Philadelphia 76ers,100,Detroit Pistons,115,Box Score,,"14,107",
248,3:30p,Indiana Pacers,105,Los Angeles Clippers,100,Box Score,,"19,060",
249,9:30p,Portland Trail Blazers,114,Los Angeles Lakers,108,Box Score,,"18,997",
250,6:00p,Charlotte Bobcats,98,Miami Heat,99,Box Score,,"19,617",
251,7:30p,New Orleans Pelicans,103,New York Knicks,99,Box Score,,"19,812",
252,7:00p,Minnesota Timberwolves,103,Oklahoma City Thunder,113,Box Score,,"18,203",
253,6:00p,Golden State Warriors,115,Sacramento Kings,113,Box Score,,"15,588",
254,1:00p,Denver Nuggets,112,Toronto Raptors,98,Box Score,,"16,290",
255,8:00p,New Orleans Pelicans,131,Chicago Bulls,128,Box Score,3OT,"21,615",
256,10:00p,Indiana Pacers,102,Portland Trail Blazers,106,Box Score,,"19,023",
257,8:30p,Atlanta Hawks,100,San Antonio Spurs,102,Box Score,,"17,318",
258,9:00p,Houston Rockets,103,Utah Jazz,109,Box Score,,"15,801",
259,7:00p,Orlando Magic,80,Washington Wizards,98,Box Score,,"12,809",
260,7:30p,Milwaukee Bucks,100,Boston Celtics,108,Box Score,,"16,649",
261,7:30p,Denver Nuggets,111,Brooklyn Nets,87,Box Score,,"17,732",
262,8:30p,Charlotte Bobcats,82,Dallas Mavericks,89,Box Score,,"19,612",
263,10:30p,Toronto Raptors,103,Golden State Warriors,112,Box Score,,"19,596",
264,8:00p,Phoenix Suns,91,Memphis Grizzlies,110,Box Score,,"15,069",
265,7:30p,Detroit Pistons,107,Miami Heat,97,Box Score,,"19,741",
266,7:00p,Orlando Magic,125,Philadelphia 76ers,126,Box Score,2OT,"10,061",
267,10:00p,Oklahoma City Thunder,97,Sacramento Kings,95,Box Score,,"15,089",
268,7:30p,Los Angeles Clippers,97,Atlanta Hawks,107,Box Score,,"12,020",
